Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
69	1054.0096815619981	515.0288198590279	[0.6186972]	[0.7460662]
70	1068.8385600959991	506.0701622515917	[0.5925844]	[0.7095946]
71	1083.5849551690008	510.9165372699499	[0.57055956]	[0.69313186]
72	1098.4595253459993	503.609217941761	[0.61248004]	[0.7346512]
73	1113.2424580469997	509.05526028573513	[0.5901318]	[0.7089318]
74	1128.2812601449987	506.9506623148918	[0.5708499]	[0.69477093]
75	1143.2082962140012	504.46314641833305	[0.6024673]	[0.7354402]
76	1158.1943857000006	496.74004605412483	[0.58130974]	[0.7195582]
77	1173.2648305629991	495.1672282665968	[0.5794585]	[0.7138086]
78	1188.2618933509984	499.1979061216116	[0.5659452]	[0.7013525]
79	1203.1522631340013	490.3370894342661	[0.57886016]	[0.71317965]
80	1218.1065102210014	491.69916482269764	[0.5589692]	[0.697273]
81	1233.032414330999	493.1684464663267	[0.57252306]	[0.7122869]
82	1249.2099240380012	493.52904906868935	[0.5697178]	[0.7089153]
83	1264.1505940360003	497.6926390975714	[0.564609]	[0.69506276]
84	1279.1883642430003	488.0352078527212	[0.56041884]	[0.7013825]
85	1294.2902786119994	498.0924647450447	[0.5481494]	[0.6825749]
86	1309.6902390930009	497.6777226626873	[0.58783495]	[0.7162115]
87	1324.9819975009996	484.86500719189644	[0.58570534]	[0.7338633]
88	1340.3955660259999	488.76419761776924	[0.54626745]	[0.68740755]
89	1355.274394958	485.89455203711987	[0.5837754]	[0.7232667]
90	1370.1357839740012	488.5407343506813	[0.55992144]	[0.704069]
91	1384.8923559309987	486.3287509083748	[0.61767364]	[0.7556569]
92	1399.7328491769986	486.8073090314865	[0.6279684]	[0.759862]
93	1414.661039980001	483.60195326805115	[0.53341806]	[0.6768383]
