Epoch	Time(sec)	Loss_train	MAE_train	MAE_test
73	793.5423816599996	198.39120034873486	[0.52415603]	[0.64088047]
74	804.0900672879998	196.5462936758995	[0.45660937]	[0.5831463]
75	814.9075667380002	196.82339031994343	[0.45330146]	[0.578478]
76	825.7568859509993	193.70715200901031	[0.46369457]	[0.5908556]
77	836.4725540660002	192.84629313647747	[0.48406473]	[0.60239244]
78	847.1840390769994	192.1982931792736	[0.46020716]	[0.58351654]
79	857.966990891	195.5830453336239	[0.45233294]	[0.5891515]
80	869.3389254550002	187.941614985466	[0.45591432]	[0.58198804]
81	879.85656285	187.9068668782711	[0.46365908]	[0.57992196]
82	890.6767560370008	190.27053746581078	[0.45735204]	[0.5789258]
83	901.5295467569995	190.64607532322407	[0.439776]	[0.5714385]
84	912.3154984899993	189.52546748518944	[0.45975077]	[0.585733]
85	922.9797660900003	189.2487581819296	[0.45388222]	[0.5739621]
86	933.7641257899995	188.48182354867458	[0.45255983]	[0.57578963]
87	944.7648755730006	185.07379826903343	[0.50058657]	[0.63110065]
88	955.2673909299992	187.94622732698917	[0.44756657]	[0.5732322]
89	966.1108548459997	187.12816506624222	[0.4290416]	[0.5606584]
90	976.9699588359999	187.99342128634453	[0.5715569]	[0.680395]
91	987.7816601260001	185.53331239521503	[0.44138607]	[0.5600268]
92	998.3878144530008	184.33352448046207	[0.44751164]	[0.58273023]
93	1009.1855353659994	183.8288248926401	[0.4723857]	[0.59093124]
94	1020.1349821429994	184.56194384396076	[0.43918502]	[0.5612608]
